approach,capture_index,frame_sequence,timestamp_ns,state,source,confidence,box_norm,tracker_quality,note
yolo11n_detector,65,507,12535890157143,Tracked,detector,0.898276,"[0.24628615379333496,0.1678166389465332,0.5283731460571289,0.9588343302408854]",,identity-safe detector correction
yolo11n_detector,66,508,12536023323601,Tracked,detector,0.899724,"[0.23257150650024414,0.1991747538248698,0.5318140983581543,0.9625975290934244]",,identity-safe detector correction
yolo11n_detector,67,509,12536164319976,Tracked,detector,0.867672,"[0.22108559608459472,0.23357226053873698,0.5355870723724365,0.958969243367513]",,identity-safe detector correction
yolo11n_detector,68,510,12536328563476,Tracked,detector,0.852459,"[0.21859588623046874,0.2583751360575358,0.5377920150756836,0.9663305918375651]",,identity-safe detector correction
yolo11n_detector,69,511,12536512245310,Tracked,detector,0.882930,"[0.21648268699645995,0.26617069244384767,0.5398776531219482,0.9722425460815429]",,identity-safe detector correction
yolo11n_detector,70,513,12536786634560,Tracked,detector,0.877800,"[0.21464128494262696,0.2893747011820475,0.5417342185974121,0.958908208211263]",,identity-safe detector correction
yolo11n_detector,71,514,12536921950768,Tracked,detector,0.874272,"[0.21468501091003417,0.298574701944987,0.5433316230773926,0.9581315358479817]",,identity-safe detector correction
yolo11n_detector,72,515,12537054685727,Tracked,detector,0.860232,"[0.21511945724487305,0.3031689008076986,0.5442986965179444,0.9643245697021484]",,identity-safe detector correction
yolo11n_detector,73,516,12537187383185,Tracked,detector,0.859763,"[0.21592583656311035,0.3113422393798828,0.5430969715118408,0.9672086079915364]",,identity-safe detector correction
yolo11n_detector,74,517,12537323447352,Tracked,detector,0.863264,"[0.2149075984954834,0.3170172373453776,0.5452197074890137,0.9658318837483724]",,identity-safe detector correction
yolo11n_detector,75,518,12537457164394,Tracked,detector,0.864836,"[0.21553220748901367,0.3188732147216797,0.5460865020751953,0.9691605885823568]",,identity-safe detector correction
yolo11n_detector,76,520,12537723490019,Tracked,detector,0.854169,"[0.21720609664916993,0.31947409311930336,0.5465652465820312,0.9509529749552409]",,identity-safe detector correction
yolo11n_detector,77,522,12537988709436,Tracked,detector,0.881655,"[0.2175224781036377,0.31803595225016273,0.5491928577423095,0.9753741582234701]",,identity-safe detector correction
yolo11n_detector,78,523,12538126621686,Tracked,detector,0.885887,"[0.21857662200927735,0.31883544921875,0.5480708122253418,0.9701780954996745]",,identity-safe detector correction
yolo11n_detector,79,524,12538424167602,Tracked,detector,0.872170,"[0.21617064476013184,0.32817112604777016,0.5505352973937988,0.9389631907145183]",,identity-safe detector correction
yolo11n_detector,80,525,12538556571894,Tracked,detector,0.832635,"[0.20185565948486328,0.34304765065511067,0.5494960308074951,0.9541615168253581]",,identity-safe detector correction
yolo11n_detector,81,526,12538686842853,Tracked,detector,0.803627,"[0.2123258113861084,0.3497809092203776,0.5447187900543213,0.9539642333984375]",,identity-safe detector correction
yolo11n_detector,82,527,12538823257686,Tracked,detector,0.820315,"[0.21434659957885743,0.3579125722249349,0.5422011375427246,0.9592600504557292]",,identity-safe detector correction
yolo11n_detector,83,528,12538954317978,Tracked,detector,0.746399,"[0.2110210418701172,0.3610140164693197,0.5404416084289551,0.9585589090983073]",,identity-safe detector correction
yolo11n_detector,84,529,12539091394769,Tracked,detector,0.796961,"[0.21055960655212402,0.35971848169962567,0.5394491195678711,0.9715201059977213]",,identity-safe detector correction
yolo11n_detector,85,530,12539231408895,Tracked,detector,0.759505,"[0.20774178504943847,0.3599394798278809,0.5405801296234131,0.9634332021077474]",,identity-safe detector correction
efficientdet_lk,1,433,12525188084513,Tracked,detector correction,0.812500,"[0.228125,0.2,0.55625,0.9625]",1.000000,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,2,434,12525419365930,Tracked,detector correction,0.824219,"[0.21875,0.2,0.546875,0.9625]",0.998542,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,3,435,12525554171263,Tracked,detector correction,0.824219,"[0.21875,0.1875,0.546875,0.95]",0.999065,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,4,436,12525687352013,Tracked,detector correction,0.812500,"[0.21875,0.19583334,0.546875,0.975]",0.999696,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,5,437,12525822375596,Tracked,detector correction,0.812500,"[0.21875,0.2,0.546875,0.9625]",0.999652,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,6,438,12525956596972,Tracked,detector correction,0.812500,"[0.21875,0.19583334,0.546875,0.975]",0.999660,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,7,440,12526228069638,Tracked,detector correction,0.726562,"[0.253125,0.15,0.540625,0.9583333]",0.845627,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,8,441,12526355752222,Tracked,detector correction,0.640625,"[0.2625,0.12083333,0.55,0.9583333]",0.826959,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,9,442,12526523208722,Tracked,visual tracker,0.855432,"[0.2573981523513794,0.11269143422444662,0.5594553470611572,0.9636343638102214]",0.855432,EfficientDet-Lite2 + LK: accepted flow (22.51 ms)
efficientdet_lk,10,443,12526661348389,Tracked,visual tracker,0.877271,"[0.2536136627197266,0.10442490577697754,0.5699960708618164,0.9684231440226237]",0.877271,EfficientDet-Lite2 + LK: accepted flow (20.97 ms)
efficientdet_lk,11,444,12526789218055,Tracked,visual tracker,0.985605,"[0.2522463798522949,0.099217160542806,0.5766251087188721,0.9714385350545247]",0.985605,EfficientDet-Lite2 + LK: accepted flow (11.54 ms)
efficientdet_lk,12,445,12526925578722,Tracked,visual tracker,0.997611,"[0.25099821090698243,0.09421456654866536,0.5830143451690674,0.9747804005940756]",0.997611,EfficientDet-Lite2 + LK: accepted flow (15.40 ms)
efficientdet_lk,13,447,12527189398764,Tracked,visual tracker,0.996250,"[0.25039427280426024,0.08998330434163411,0.591159439086914,0.9780267715454102]",0.996250,EfficientDet-Lite2 + LK: accepted flow (8.82 ms)
efficientdet_lk,14,448,12527320513055,Tracked,visual tracker,0.989217,"[0.25095043182373045,0.09092541535695393,0.5934971332550049,0.9765308380126954]",0.989217,EfficientDet-Lite2 + LK: accepted flow (12.11 ms)
efficientdet_lk,15,449,12527522316806,Tracked,visual tracker,0.999411,"[0.25094478130340575,0.09053324063618978,0.5942279815673828,0.9767670313517253]",0.999411,EfficientDet-Lite2 + LK: accepted flow (14.04 ms)
efficientdet_lk,16,450,12527658504931,Tracked,visual tracker,0.971739,"[0.25093965530395507,0.08811643918355307,0.5975336551666259,0.9801912943522135]",0.971739,EfficientDet-Lite2 + LK: accepted flow (12.32 ms)
efficientdet_lk,17,451,12527798973431,Tracked,visual tracker,0.990225,"[0.25082442760467527,0.08817985852559408,0.5995985507965088,0.9798456827799479]",0.990225,EfficientDet-Lite2 + LK: accepted flow (8.66 ms)
efficientdet_lk,18,453,12528089910639,Tracked,detector correction,0.562500,"[0.375,0.054166666999999995,0.5875,0.9875]",0.978624,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,19,454,12528228203848,Tracked,detector correction,0.601562,"[0.375,0.045833334,0.5875,0.99583334]",0.916728,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,20,455,12528357245806,Tracked,detector correction,0.582031,"[0.378125,0.0375,0.59375,1.0]",0.973325,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,21,456,12528521323931,Tracked,detector correction,0.582031,"[0.375,0.0375,0.6,1.0]",0.999181,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,22,457,12528655547556,Tracked,detector correction,0.695312,"[0.378125,0.058333334,0.615625,1.0]",0.902754,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,23,458,12528789712223,Tracked,detector correction,0.640625,"[0.378125,0.045833334,0.621875,0.99583334]",0.983917,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,24,459,12528921197515,Tracked,detector correction,0.640625,"[0.375,0.045833334,0.621875,0.99583334]",0.988422,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,25,460,12529055570306,Tracked,detector correction,0.621094,"[0.378125,0.045833334,0.615625,0.99583334]",0.998407,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,26,461,12529189563223,Tracked,detector correction,0.562500,"[0.38125,0.0375,0.615625,1.0]",0.998631,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,27,462,12529321656056,Tracked,detector correction,0.582031,"[0.38125,0.045833334,0.615625,0.99583334]",0.998566,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,28,463,12529497385807,Tracked,detector correction,0.601562,"[0.384375,0.0375,0.6125,1.0]",0.978127,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,29,464,12529652866515,Tracked,detector correction,0.601562,"[0.378125,0.0375,0.615625,1.0]",0.946119,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,30,465,12529788431265,Tracked,detector correction,0.562500,"[0.38125,0.041666668,0.603125,1.0]",0.998902,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,31,467,12530053902307,Tracked,visual tracker,0.992203,"[0.3803726673126221,0.04235097169876099,0.6021905422210694,0.9997101465861002]",0.992203,EfficientDet-Lite2 + LK: accepted flow (6.19 ms)
efficientdet_lk,32,468,12530186161265,Tracked,detector correction,0.582031,"[0.375,0.0375,0.609375,1.0]",0.999571,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,33,469,12530322509515,Tracked,detector correction,0.601562,"[0.378125,0.0375,0.60625,1.0]",0.999018,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,34,470,12530452977140,Tracked,detector correction,0.562500,"[0.378125,0.0375,0.60625,1.0]",0.999373,EfficientDet-Lite2 + LK: identity-safe detector correction
efficientdet_lk,35,471,12530588443057,Tracked,visual tracker,0.999393,"[0.37841100692749025,0.03768049478530884,0.607084846496582,1.0]",0.999393,EfficientDet-Lite2 + LK: accepted flow (7.71 ms)
efficientdet_lk,36,472,12530722004807,Tracked,detector correction,0.562500,"[0.384375,0.05,0.6125,1.0]",0.999610,EfficientDet-Lite2 + LK: identity-safe detector correction
